BG_num,stat,ecc1,ecc2,ecc3,ecc4,ecc5
8,mean,5.25,4.833333333333333,6.0,8.083333333333334,8.23076923076923
8,std,3.344772040064913,1.3437096247164249,2.581988897471611,2.9568658332016953,3.129360862585845
8,median,3.5,4.5,6.0,7.5,8.0
9,mean,12.75,11.25,16.27777777777778,18.208333333333332,21.692307692307693
9,std,7.949056547792323,12.376893794486563,9.248456661372423,10.965776939592054,7.921583130280262
9,median,11.5,5.5,15.5,14.5,20.0
