BG_num,ecc_norm,target_loc,n_fix,scanpath
8,3.0,"[148, 370]",11,"[[313, 313], [214, 370], [115, 85], [544, 484], [478, 142], [346, 256], [412, 484], [511, 313], [148, 370], [148, 370], [148, 370]]"
8,2.0,"[214, 370]",3,"[[313, 313], [214, 370], [214, 370]]"
8,1.0,"[280, 370]",3,"[[313, 313], [280, 370], [280, 370]]"
8,1.0,"[346, 370]",3,"[[313, 313], [346, 370], [346, 370]]"
8,2.0,"[412, 370]",6,"[[313, 313], [412, 370], [412, 370], [412, 370], [412, 370], [412, 370]]"
8,3.0,"[478, 370]",10,"[[313, 313], [445, 199], [247, 541], [148, 142], [16, 256], [115, 85], [412, 484], [478, 370], [478, 370], [478, 370]]"
8,4.0,"[544, 370]",9,"[[313, 313], [82, 256], [346, 256], [214, 142], [577, 313], [412, 598], [544, 370], [544, 370], [544, 370]]"
8,5.0,"[610, 370]",11,"[[313, 313], [115, 85], [346, 484], [379, 85], [280, 598], [511, 427], [313, 85], [16, 370], [16, 370], [610, 370], [610, 370]]"
8,5.0,"[49, 427]",5,"[[313, 313], [148, 484], [148, 484], [49, 427], [49, 427]]"
8,4.0,"[115, 427]",8,"[[313, 313], [280, 256], [247, 541], [280, 370], [181, 541], [181, 541], [115, 427], [115, 427]]"
8,3.0,"[181, 427]",5,"[[313, 313], [313, 427], [181, 427], [181, 427], [181, 427]]"
8,2.0,"[247, 427]",5,"[[313, 313], [148, 370], [247, 427], [247, 427], [247, 427]]"
8,2.0,"[313, 427]",4,"[[313, 313], [280, 484], [313, 427], [313, 427]]"
8,2.0,"[379, 427]",7,"[[313, 313], [313, 541], [115, 199], [346, 256], [511, 541], [379, 427], [379, 427]]"
8,3.0,"[445, 427]",4,"[[313, 313], [445, 427], [445, 427], [445, 427]]"
8,4.0,"[511, 427]",10,"[[313, 313], [181, 427], [544, 256], [280, 142], [346, 484], [280, 142], [511, 313], [511, 427], [511, 427], [511, 427]]"
8,5.0,"[577, 427]",15,"[[313, 313], [82, 256], [82, 142], [148, 256], [148, 370], [412, 142], [544, 142], [544, 142], [577, 427], [181, 541], [577, 427], [577, 427], [577, 427], [577, 427], [577, 427]]"
8,5.0,"[82, 484]",9,"[[313, 313], [49, 313], [247, 85], [511, 313], [511, 313], [544, 142], [247, 541], [82, 484], [82, 484]]"
8,4.0,"[148, 484]",8,"[[313, 313], [412, 142], [412, 484], [280, 598], [148, 484], [148, 484], [148, 484], [148, 484]]"
8,3.0,"[214, 484]",6,"[[313, 313], [379, 313], [181, 427], [214, 484], [214, 484], [214, 484]]"
8,3.0,"[280, 484]",3,"[[313, 313], [280, 484], [280, 484]]"
8,3.0,"[346, 484]",7,"[[313, 313], [346, 484], [577, 313], [577, 313], [577, 313], [346, 484], [346, 484]]"
