BG_num,ecc_norm,target_loc,n_fix,scanpath
9,3.0,"[280, 484]",32,"[[313, 313], [445, 313], [214, 370], [412, 370], [511, 427], [313, 199], [610, 370], [280, 28], [115, 313], [181, 427], [49, 313], [445, 541], [511, 541], [313, 427], [511, 199], [577, 199], [412, 142], [412, 142], [511, 85], [82, 142], [181, 85], [181, 85], [181, 199], [214, 142], [280, 598], [247, 541], [412, 484], [577, 427], [82, 370], [214, 598], [280, 484], [280, 484]]"
9,3.0,"[346, 484]",18,"[[313, 313], [511, 199], [577, 199], [346, 256], [115, 427], [49, 427], [49, 313], [577, 313], [478, 370], [511, 427], [181, 313], [214, 484], [280, 598], [247, 541], [346, 484], [346, 484], [346, 484], [346, 484]]"
9,3.0,"[412, 484]",39,"[[313, 313], [214, 370], [445, 427], [478, 142], [478, 256], [478, 256], [610, 256], [412, 28], [412, 28], [181, 541], [49, 313], [82, 256], [148, 256], [247, 199], [214, 142], [181, 199], [280, 484], [313, 199], [214, 370], [511, 313], [511, 427], [115, 85], [82, 142], [115, 85], [412, 598], [412, 370], [346, 256], [247, 199], [247, 199], [82, 256], [610, 256], [115, 427], [82, 484], [82, 484], [82, 484], [280, 598], [346, 484], [412, 484], [412, 484]]"
9,4.0,"[478, 484]",36,"[[313, 313], [247, 313], [379, 313], [379, 427], [214, 142], [247, 199], [379, 199], [214, 370], [148, 484], [115, 427], [577, 313], [280, 598], [247, 541], [115, 199], [313, 541], [445, 541], [544, 256], [511, 85], [346, 142], [247, 313], [511, 427], [49, 313], [115, 427], [346, 142], [313, 541], [412, 370], [280, 142], [49, 199], [544, 484], [82, 484], [610, 370], [511, 199], [214, 28], [478, 484], [478, 484], [478, 484]]"
9,5.0,"[544, 484]",15,"[[313, 313], [181, 313], [247, 85], [82, 484], [49, 427], [247, 427], [511, 199], [478, 256], [445, 85], [412, 28], [280, 28], [412, 142], [511, 427], [544, 484], [544, 484]]"
9,5.0,"[115, 541]",17,"[[313, 313], [181, 313], [115, 199], [379, 541], [313, 427], [379, 85], [511, 199], [544, 256], [346, 484], [280, 598], [445, 427], [280, 28], [280, 142], [280, 28], [115, 541], [115, 541], [115, 541]]"
9,4.0,"[181, 541]",9,"[[313, 313], [379, 313], [280, 256], [346, 142], [181, 427], [115, 427], [115, 541], [181, 541], [181, 541]]"
9,4.0,"[247, 541]",4,"[[313, 313], [214, 484], [247, 541], [247, 541]]"
9,4.0,"[313, 541]",6,"[[313, 313], [214, 484], [280, 484], [313, 541], [313, 541], [313, 541]]"
9,4.0,"[379, 541]",15,"[[313, 313], [247, 199], [148, 142], [115, 199], [82, 370], [412, 142], [445, 85], [379, 85], [247, 541], [280, 598], [346, 484], [379, 541], [379, 541], [379, 541], [379, 541]]"
9,4.0,"[445, 541]",33,"[[313, 313], [511, 313], [511, 427], [379, 85], [346, 28], [346, 484], [445, 427], [148, 256], [511, 85], [412, 28], [214, 598], [412, 256], [412, 256], [247, 199], [82, 142], [181, 85], [49, 427], [346, 598], [610, 370], [49, 199], [82, 484], [181, 541], [214, 598], [214, 370], [247, 427], [247, 427], [247, 427], [577, 199], [247, 427], [445, 541], [445, 541], [445, 541], [445, 541]]"
9,5.0,"[511, 541]",14,"[[313, 313], [247, 313], [247, 313], [181, 199], [148, 142], [82, 370], [181, 541], [577, 313], [346, 142], [412, 142], [577, 427], [511, 541], [511, 541], [511, 541]]"
9,5.0,"[214, 598]",28,"[[313, 313], [181, 427], [181, 541], [82, 484], [379, 199], [379, 85], [115, 199], [181, 85], [544, 142], [577, 199], [379, 541], [313, 541], [82, 142], [49, 313], [544, 370], [478, 370], [511, 427], [445, 427], [148, 256], [49, 427], [247, 85], [610, 256], [280, 256], [247, 199], [346, 598], [214, 598], [214, 598], [214, 598]]"
9,5.0,"[280, 598]",8,"[[313, 313], [379, 199], [214, 256], [115, 199], [148, 370], [313, 541], [280, 598], [280, 598]]"
9,5.0,"[346, 598]",24,"[[313, 313], [214, 370], [214, 370], [478, 370], [544, 370], [577, 313], [544, 370], [544, 370], [181, 85], [247, 199], [82, 142], [82, 142], [445, 85], [379, 85], [313, 541], [412, 598], [544, 484], [379, 199], [610, 256], [148, 142], [82, 370], [346, 484], [346, 598], [346, 598]]"
9,5.0,"[412, 598]",9,"[[313, 313], [511, 313], [478, 370], [511, 427], [445, 541], [412, 598], [412, 598], [412, 598], [412, 598]]"
